epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,123.946,1.10403,0.90447,1.0716,0.90139,0.89685,0.94707,0.6473,1.07053,0.85515,1.04922,0.0011882,0.0011882,0.0011882
43,127.002,1.14424,0.91049,1.07359,0.87556,0.90277,0.91514,0.61282,1.06003,0.83145,1.04599,0.0011684,0.0011684,0.0011684
44,129.948,1.11272,0.9258,1.06766,0.89592,0.90956,0.94851,0.65031,1.02317,0.81912,1.04651,0.0011486,0.0011486,0.0011486
45,132.952,1.13511,0.92079,1.06584,0.86396,0.83878,0.89671,0.60437,1.06604,0.80788,1.10768,0.0011288,0.0011288,0.0011288
46,135.902,1.15236,0.8458,1.10548,0.86128,0.86792,0.92687,0.63807,1.0491,0.76297,1.0458,0.001109,0.001109,0.001109
47,138.971,1.11498,0.83761,1.07246,0.87256,0.88679,0.91778,0.63893,1.0429,0.7303,1.03414,0.0010892,0.0010892,0.0010892
48,141.983,1.12404,0.90093,1.07251,0.89377,0.88901,0.94028,0.6497,1.01106,0.70283,1.03441,0.0010694,0.0010694,0.0010694
49,144.984,1.11844,0.84368,1.10958,0.89006,0.89434,0.91503,0.64501,0.99843,0.70319,1.02501,0.0010496,0.0010496,0.0010496
50,147.943,1.07505,0.80302,1.07767,0.93204,0.86792,0.95513,0.66667,1.00573,0.68053,1.03783,0.0010298,0.0010298,0.0010298
51,150.957,1.08193,0.82386,1.05163,0.94018,0.88971,0.96059,0.67751,1.01591,0.66984,1.03173,0.00101,0.00101,0.00101
52,153.953,1.16299,0.77109,1.09315,0.94473,0.90298,0.97021,0.69595,0.97663,0.61304,1.01026,0.0009902,0.0009902,0.0009902
53,157.023,1.13425,0.83566,1.07435,0.91814,0.89434,0.96096,0.66051,1.00259,0.66795,1.00881,0.0009704,0.0009704,0.0009704
