                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    151,                0.81259,                0.77451,                0.96347,                0.85496,                0.42105,                 0.4911,                0.18999,                 2.4604,                 2.9336,                 2.2603,               0.001703,               0.001703,               0.001703
                    152,                0.79524,                0.73401,                0.97126,                0.84382,                0.42105,                0.47599,                0.19842,                  2.346,                 3.0629,                 2.1741,               0.001701,               0.001701,               0.001701
                    153,                0.89129,                0.81358,                 1.0806,                0.73042,                0.42105,                0.45286,                0.17642,                 2.2044,                 2.9967,                 2.0571,               0.001699,               0.001699,               0.001699
                    154,                0.79824,                0.72362,                0.97905,                0.81939,                0.42105,                0.46638,                0.17857,                 2.1725,                 2.9041,                 2.0819,              0.0016971,              0.0016971,              0.0016971
                    155,                0.81508,                0.77213,                 1.0393,                0.77826,                0.36956,                0.45226,                0.19682,                 2.1501,                 2.7613,                 2.1123,              0.0016951,              0.0016951,              0.0016951
                    156,                0.75009,                0.65883,                0.97708,                0.87066,                0.35563,                0.42076,                0.17963,                 2.1697,                 2.8423,                 2.1843,              0.0016931,              0.0016931,              0.0016931
                    157,                0.79388,                0.73139,                0.98048,                0.84208,                 0.2825,                0.37413,                0.15099,                 2.1301,                 2.9869,                  2.181,              0.0016911,              0.0016911,              0.0016911
                    158,                0.83537,                0.78863,                 1.0201,                0.83212,                0.26125,                0.35668,                0.13694,                  2.163,                 2.9647,                 2.2564,              0.0016891,              0.0016891,              0.0016891
                    159,                0.73174,                0.70863,                0.97938,                0.28707,                0.52632,                0.33326,                0.13561,                  2.234,                 3.0403,                 2.3522,              0.0016872,              0.0016872,              0.0016872
                    160,                0.76617,                0.75587,                 1.0001,                0.32141,                0.57895,                0.35975,                0.15029,                  2.218,                 3.1474,                 2.2139,              0.0016852,              0.0016852,              0.0016852
                    161,                0.78791,                0.74441,                 1.0027,                0.86016,                0.42105,                0.45391,                0.19817,                 2.2408,                 3.1143,                  2.185,              0.0016832,              0.0016832,              0.0016832
                    162,                0.79103,                0.79577,                 1.0038,                0.81228,                0.45661,                0.48269,                0.20032,                 2.2502,                 2.9675,                 2.2519,              0.0016812,              0.0016812,              0.0016812
                    163,                0.87186,                0.78529,                0.97194,                0.75405,                0.47368,                0.50674,                0.20612,                 2.1035,                  2.697,                 2.2226,              0.0016792,              0.0016792,              0.0016792
                    164,                0.74768,                0.67789,                0.94307,                0.76888,                0.52535,                0.51937,                0.19098,                 2.1653,                 2.6898,                  2.233,              0.0016773,              0.0016773,              0.0016773
                    165,                0.83111,                0.74417,                0.96779,                0.77152,                0.47368,                0.46518,                0.15784,                 2.2447,                 2.8584,                 2.2527,              0.0016753,              0.0016753,              0.0016753
                    166,                0.71912,                0.63312,                0.92871,                 0.7105,                0.47368,                0.44709,                0.15491,                 2.2335,                 3.0495,                 2.2344,              0.0016733,              0.0016733,              0.0016733
                    167,                0.72444,                0.75186,                0.96818,                0.76543,                0.34503,                0.38416,                0.12661,                 2.2119,                 3.3091,                 2.1479,              0.0016713,              0.0016713,              0.0016713
                    168,                0.73121,                0.66991,                0.97532,                0.30096,                0.52632,                0.31555,                0.09849,                 2.2721,                 3.4605,                 2.1521,              0.0016693,              0.0016693,              0.0016693
                    169,                0.71891,                0.70165,                 1.0147,                0.29406,                0.52632,                0.34968,                0.11792,                 2.3659,                 3.5381,                 2.2626,              0.0016674,              0.0016674,              0.0016674
                    170,                0.70897,                0.70143,                0.91555,                0.30361,                0.47368,                0.31977,                  0.122,                 2.4111,                 3.4741,                 2.3036,              0.0016654,              0.0016654,              0.0016654
                    171,                0.73761,                0.81917,                0.97146,                0.33054,                0.42105,                0.37956,                0.13613,                 2.3855,                 3.2914,                 2.4061,              0.0016634,              0.0016634,              0.0016634
                    172,                0.82941,                0.74019,                 1.0479,                0.30352,                0.42105,                0.32947,                0.11897,                 2.3369,                 3.6606,                 2.4369,              0.0016614,              0.0016614,              0.0016614
                    173,                0.86253,                0.77145,                0.99037,                0.28378,                0.52632,                0.29256,                0.10618,                  2.287,                 3.5189,                  2.374,              0.0016594,              0.0016594,              0.0016594
                    174,                0.74939,                0.77718,                0.95186,                0.32315,                0.52632,                0.30618,                0.10687,                 2.3344,                 3.2236,                 2.3899,              0.0016575,              0.0016575,              0.0016575
                    175,                0.87629,                0.86397,                0.98903,                0.39573,                0.47368,                0.43433,                0.13853,                  2.349,                 3.2748,                 2.3685,              0.0016555,              0.0016555,              0.0016555
                    176,                0.74145,                  0.764,                0.97359,                0.42324,                0.47368,                0.44743,                0.14989,                 2.3182,                 3.3497,                 2.3618,              0.0016535,              0.0016535,              0.0016535
                    177,                0.73007,                0.78212,                0.94544,                0.67672,                0.47368,                0.49574,                0.18745,                 2.3001,                 3.3086,                  2.262,              0.0016515,              0.0016515,              0.0016515
                    178,                0.71178,                0.72829,                0.99312,                0.70936,                0.47368,                0.51171,                0.18439,                 2.2312,                 3.1178,                 2.1853,              0.0016495,              0.0016495,              0.0016495
                    179,                0.73657,                0.73865,                0.92975,                0.82002,                0.47368,                0.51534,                0.18321,                 2.1633,                 2.9518,                 2.0966,              0.0016476,              0.0016476,              0.0016476
                    180,                0.77844,                 0.6924,                0.95066,                0.86846,                0.47368,                0.52073,                0.18578,                 2.2455,                 2.8023,                 2.0862,              0.0016456,              0.0016456,              0.0016456
                    181,                0.72453,                0.65705,                0.96532,                0.76905,                0.57895,                0.53048,                 0.1971,                 2.2529,                 2.6668,                 2.1111,              0.0016436,              0.0016436,              0.0016436
                    182,                0.67842,                 0.6809,                0.97043,                0.72223,                0.57895,                0.52535,                0.19807,                  2.207,                 2.6874,                 1.9966,              0.0016416,              0.0016416,              0.0016416
                    183,                0.75577,                0.72306,                0.94855,                0.87961,                0.47368,                0.51641,                0.21021,                 2.2301,                 2.5798,                 1.9701,              0.0016396,              0.0016396,              0.0016396
                    184,                0.72359,                0.69895,                  0.974,                 0.9125,                0.54998,                0.55822,                0.23572,                  2.251,                 2.7617,                 2.0009,              0.0016377,              0.0016377,              0.0016377
                    185,                0.63758,                0.69801,                0.95531,                0.83179,                0.57895,                0.56073,                0.23329,                 2.3236,                 2.7848,                 2.0852,              0.0016357,              0.0016357,              0.0016357
                    186,                0.75436,                 0.7409,                0.94142,                0.84481,                0.57895,                0.55605,                 0.2347,                 2.3246,                 2.8388,                 2.0794,              0.0016337,              0.0016337,              0.0016337
                    187,                 0.7681,                0.73749,                0.97332,                0.84111,                0.57895,                 0.5487,                0.22638,                 2.3895,                 2.7667,                 2.1352,              0.0016317,              0.0016317,              0.0016317
                    188,                0.70945,                0.70607,                0.96388,                0.81901,                0.57895,                0.54337,                 0.2318,                 2.3076,                 2.8048,                 2.0935,              0.0016297,              0.0016297,              0.0016297
                    189,                0.74123,                0.72027,                 0.9412,                0.47102,                0.57895,                0.42441,                0.18895,                 2.2214,                 3.3114,                 2.0514,              0.0016278,              0.0016278,              0.0016278
                    190,                0.73547,                0.72716,                0.95888,                0.42598,                0.46891,                0.37555,                0.16603,                 2.1807,                 3.5748,                 2.0609,              0.0016258,              0.0016258,              0.0016258
                    191,                 0.7037,                0.68955,                0.90302,                0.41205,                0.42105,                 0.3684,                0.12449,                 2.2591,                 3.6997,                 2.1409,              0.0016238,              0.0016238,              0.0016238
                    192,                0.81009,                0.73507,                0.97074,                0.32335,                0.57849,                0.35552,                0.12316,                 2.3239,                 3.9555,                 2.1925,              0.0016218,              0.0016218,              0.0016218
                    193,                0.64785,                0.69446,                0.92648,                0.29887,                0.47122,                0.24759,                0.09634,                 2.2508,                 3.9772,                 2.1989,              0.0016198,              0.0016198,              0.0016198
                    194,                0.74636,                0.77641,                0.99494,                0.30994,                0.47282,                0.24997,                0.09368,                 2.3134,                 4.1386,                 2.1995,              0.0016179,              0.0016179,              0.0016179
                    195,                0.76491,                0.76265,                0.97145,                0.29429,                0.47368,                0.29426,                0.09927,                 2.2617,                 4.2761,                 2.3205,              0.0016159,              0.0016159,              0.0016159
                    196,                0.72092,                0.67043,                0.96499,                 0.8542,                0.30929,                0.36986,                0.13054,                 2.3019,                 4.0302,                  2.376,              0.0016139,              0.0016139,              0.0016139
                    197,                 0.7393,                0.69076,                0.94961,                0.77758,                0.36805,                0.39823,                0.15569,                 2.2805,                 3.3942,                 2.3815,              0.0016119,              0.0016119,              0.0016119
                    198,                0.76195,                 0.6926,                 0.9551,                0.73421,                0.31579,                0.40063,                0.15052,                 2.1636,                 3.2584,                  2.254,              0.0016099,              0.0016099,              0.0016099
                    199,                 0.7192,                0.72778,                0.95894,                0.84012,                0.36842,                0.39458,                0.15601,                 2.1308,                 3.1864,                 2.1687,               0.001608,               0.001608,               0.001608
                    200,                0.76067,                0.77161,                0.97126,                0.79705,                0.41407,                0.40788,                0.16162,                 2.1495,                 3.0089,                  2.215,               0.001606,               0.001606,               0.001606
                    201,                0.77861,                0.67291,                0.94762,                0.79642,                0.47368,                0.45033,                 0.1762,                 2.1804,                 3.2565,                 2.2653,               0.001604,               0.001604,               0.001604
                    202,                0.70761,                0.74903,                 0.9592,                0.64974,                0.42105,                0.36487,                0.16014,                 2.2271,                 3.1994,                 2.3373,               0.001602,               0.001602,               0.001602
                    203,                0.75635,                0.67433,                0.94485,                0.66167,                0.42105,                0.37223,                0.18113,                 2.2342,                 3.5823,                 2.3523,                 0.0016,                 0.0016,                 0.0016
                    204,                0.76138,                0.62191,                0.97779,                0.71244,                0.47368,                0.44939,                0.17408,                 2.2288,                 3.5347,                 2.3061,              0.0015981,              0.0015981,              0.0015981
                    205,                0.78637,                0.70063,                0.92117,                0.81011,                0.45031,                0.42665,                0.15938,                 2.1971,                 3.6355,                 2.2565,              0.0015961,              0.0015961,              0.0015961
                    206,                0.85951,                0.68761,                0.99308,                0.77645,                0.42105,                0.41004,                0.16033,                 2.1477,                 3.5251,                 2.2257,              0.0015941,              0.0015941,              0.0015941
                    207,                0.81148,                0.71471,                0.98572,                0.88979,                0.47368,                0.45149,                0.15909,                 2.1199,                 3.4598,                 2.2423,              0.0015921,              0.0015921,              0.0015921
